,Data,Intervalo,Vazao
0, 12-12-2022,00:00:00 a 06:00:00,
1, 12-12-2022,06:00:00 a 12:00:00,
2, 12-12-2022,12:00:00 a 18:00:00,717907237.0
3, 12-12-2022,18:00:00 a 23:59:59,918369832.5
4, 13-12-2022,00:00:00 a 06:00:00,818138534.75
5, 13-12-2022,06:00:00 a 12:00:00,917452763.0
6, 13-12-2022,12:00:00 a 18:00:00,909299198.0
7, 13-12-2022,18:00:00 a 23:59:59,910559635.0
8, 14-12-2022,00:00:00 a 06:00:00,914006199.0
9, 14-12-2022,06:00:00 a 12:00:00,851234550.0
10, 14-12-2022,12:00:00 a 18:00:00,912789287.0
11, 14-12-2022,18:00:00 a 23:59:59,918971043.0
12, 15-12-2022,00:00:00 a 06:00:00,918975268.0
13, 15-12-2022,06:00:00 a 12:00:00,900356981.0
14, 15-12-2022,12:00:00 a 18:00:00,886417267.0
15, 15-12-2022,18:00:00 a 23:59:59,915873619.0
16, 16-12-2022,00:00:00 a 06:00:00,914941118.0
17, 16-12-2022,06:00:00 a 12:00:00,914941118.0
18, 16-12-2022,12:00:00 a 18:00:00,848373264.5
19, 16-12-2022,18:00:00 a 23:59:59,916851955.5
20, 17-12-2022,00:00:00 a 06:00:00,915407368.5
21, 17-12-2022,06:00:00 a 12:00:00,919180618.0
22, 17-12-2022,12:00:00 a 18:00:00,917719405.0
23, 17-12-2022,18:00:00 a 23:59:59,918144411.0
24, 18-12-2022,00:00:00 a 06:00:00,917931908.0
25, 18-12-2022,06:00:00 a 12:00:00,916535441.5
26, 18-12-2022,12:00:00 a 18:00:00,916509847.5
27, 18-12-2022,18:00:00 a 23:59:59,917127423.25
28, 19-12-2022,00:00:00 a 06:00:00,904867935.0
29, 19-12-2022,06:00:00 a 12:00:00,908535540.0
30, 19-12-2022,12:00:00 a 18:00:00,906864127.0
31, 19-12-2022,18:00:00 a 23:59:59,908408809.0
32, 20-12-2022,00:00:00 a 06:00:00,907636468.0
33, 20-12-2022,06:00:00 a 12:00:00,913940852.0
34, 20-12-2022,12:00:00 a 18:00:00,899363789.5
35, 20-12-2022,18:00:00 a 23:59:59,920020674.0
36, 21-12-2022,00:00:00 a 06:00:00,911174830.5
37, 21-12-2022,06:00:00 a 12:00:00,917844268.5
38, 21-12-2022,12:00:00 a 18:00:00,918734131.0
39, 21-12-2022,18:00:00 a 23:59:59,917269103.0
40, 22-12-2022,00:00:00 a 06:00:00,918289199.75
41, 22-12-2022,06:00:00 a 12:00:00,922908273.0
42, 22-12-2022,12:00:00 a 18:00:00,917925908.0
43, 22-12-2022,18:00:00 a 23:59:59,915302446.5
44, 23-12-2022,00:00:00 a 06:00:00,917597505.5
45, 23-12-2022,06:00:00 a 12:00:00,917980173.0
46, 23-12-2022,12:00:00 a 18:00:00,915725404.0
47, 23-12-2022,18:00:00 a 23:59:59,917848756.5
48, 24-12-2022,00:00:00 a 06:00:00,917922650.0
49, 24-12-2022,06:00:00 a 12:00:00,917885703.25
50, 24-12-2022,12:00:00 a 18:00:00,918211100.0
51, 24-12-2022,18:00:00 a 23:59:59,913939984.0
52, 25-12-2022,00:00:00 a 06:00:00,917715045.0
53, 25-12-2022,06:00:00 a 12:00:00,662492171.0
54, 25-12-2022,12:00:00 a 18:00:00,914991240.0
55, 25-12-2022,18:00:00 a 23:59:59,919655620.0
56, 26-12-2022,00:00:00 a 06:00:00,914991240.0
57, 26-12-2022,06:00:00 a 12:00:00,916353142.5
58, 26-12-2022,12:00:00 a 18:00:00,895340599.5
59, 26-12-2022,18:00:00 a 23:59:59,914991240.0
60, 3-1-2023,00:00:00 a 06:00:00,907498109.75
61, 3-1-2023,06:00:00 a 12:00:00,895340599.5
62, 3-1-2023,12:00:00 a 18:00:00,895340599.5
63, 3-1-2023,18:00:00 a 23:59:59,915145436.0
64, 4-1-2023,00:00:00 a 06:00:00,919132555.0
65, 4-1-2023,06:00:00 a 12:00:00,919132050.0
66, 4-1-2023,12:00:00 a 18:00:00,918762107.0
67, 4-1-2023,18:00:00 a 23:59:59,900465630.0
68, 5-1-2023,00:00:00 a 06:00:00,912498278.5
69, 5-1-2023,06:00:00 a 12:00:00,914830496.5
70, 5-1-2023,12:00:00 a 18:00:00,908671539.0
71, 5-1-2023,18:00:00 a 23:59:59,912498278.5
72, 6-1-2023,00:00:00 a 06:00:00,904607103.0
73, 6-1-2023,06:00:00 a 12:00:00,919341122.0
74, 6-1-2023,12:00:00 a 18:00:00,911751017.75
75, 6-1-2023,18:00:00 a 23:59:59,908671539.0
76, 7-1-2023,00:00:00 a 06:00:00,914256065.0
77, 7-1-2023,06:00:00 a 12:00:00,914256065.0
78, 7-1-2023,12:00:00 a 18:00:00,916798593.5
79, 7-1-2023,18:00:00 a 23:59:59,917221074.0
80, 8-1-2023,00:00:00 a 06:00:00,915738569.5
81, 8-1-2023,06:00:00 a 12:00:00,915738569.5
82, 8-1-2023,12:00:00 a 18:00:00,905133609.0
83, 8-1-2023,18:00:00 a 23:59:59,898525942.0
84, 10-1-2023,00:00:00 a 06:00:00,905133609.0
85, 10-1-2023,06:00:00 a 12:00:00,901829775.5
86, 10-1-2023,12:00:00 a 18:00:00,901829775.5
87, 10-1-2023,18:00:00 a 23:59:59,914885057.5
88, 11-1-2023,00:00:00 a 06:00:00,906705499.75
89, 11-1-2023,06:00:00 a 12:00:00,914885057.5
90, 11-1-2023,12:00:00 a 18:00:00,914885057.5
91, 11-1-2023,18:00:00 a 23:59:59,915930723.0
92, 12-1-2023,00:00:00 a 06:00:00,919811281.0
93, 12-1-2023,06:00:00 a 12:00:00,914438294.0
94, 12-1-2023,12:00:00 a 18:00:00,915930723.0
95, 12-1-2023,18:00:00 a 23:59:59,777518559.0
96, 13-1-2023,00:00:00 a 06:00:00,917629581.0
97, 13-1-2023,06:00:00 a 12:00:00,916033937.5
98, 13-1-2023,12:00:00 a 18:00:00,896476644.0
99, 13-1-2023,18:00:00 a 23:59:59,909620854.3333334
100, 14-1-2023,00:00:00 a 06:00:00,918030720.0
101, 14-1-2023,06:00:00 a 12:00:00,913625217.6666667
102, 14-1-2023,12:00:00 a 18:00:00,916507944.0
103, 14-1-2023,18:00:00 a 23:59:59,919235023.0
